UserID,total_courses,total_spending,avg_spending,diversity_score,preferred_category,preferred_level,avg_course_rating,user_age,user_gender,Cluster,Segment
U00001,1,394.26,394.26,1,2,2,1.35,15,1,3,Premium Specialists
U00002,1,0.0,0.0,1,9,1,2.88,29,0,2,Budget Learners
U00003,11,613.98,55.81636363636364,7,8,0,2.889090909090909,33,0,1,Explorer Learners
U00004,13,982.05,75.54230769230769,8,5,2,3.4515384615384614,23,0,1,Explorer Learners
U00005,2,346.71,173.355,2,9,0,2.0549999999999997,21,1,0,Casual Learners
U00006,1,0.78,0.78,1,7,0,3.89,21,1,0,Casual Learners
U00007,1,0.0,0.0,1,2,2,1.91,24,1,0,Casual Learners
U00008,1,0.0,0.0,1,6,2,4.1,33,0,2,Budget Learners
U00009,1,276.37,276.37,1,4,0,2.72,20,0,3,Premium Specialists
U00010,2,326.02,163.01,2,0,1,3.165,34,0,2,Budget Learners
U00011,2,299.57,149.785,2,3,0,3.205,15,0,2,Budget Learners
U00012,2,327.99,163.995,2,4,0,1.5150000000000001,15,0,2,Budget Learners
U00013,14,1432.33,102.3092857142857,8,7,0,2.869285714285714,33,0,1,Explorer Learners
U00014,1,0.0,0.0,1,7,0,1.81,30,1,0,Casual Learners
U00015,14,2035.06,145.36142857142858,10,0,1,2.7607142857142857,27,0,1,Explorer Learners
U00016,1,0.0,0.0,1,8,0,4.79,32,1,0,Casual Learners
U00017,3,963.18,321.06,3,0,1,4.6499999999999995,24,1,3,Premium Specialists
U00018,16,1468.03,91.751875,9,0,1,3.1081250000000002,24,0,1,Explorer Learners
U00019,1,0.0,0.0,1,4,1,4.51,24,0,2,Budget Learners
U00020,1,0.0,0.0,1,9,1,2.88,27,0,2,Budget Learners
U00021,2,177.34,88.67,2,2,0,3.135,15,1,0,Casual Learners
U00022,1,0.0,0.0,1,10,1,4.68,31,1,0,Casual Learners
U00023,1,0.0,0.0,1,4,1,4.51,32,1,0,Casual Learners
U00024,1,0.0,0.0,1,2,2,3.93,18,0,2,Budget Learners
U00025,4,119.04,29.76,4,6,0,2.605,34,1,0,Casual Learners
U00026,1,327.99,327.99,1,10,1,1.51,19,1,3,Premium Specialists
U00027,2,0.0,0.0,2,2,0,2.915,31,1,0,Casual Learners
U00028,12,1012.66,84.38833333333334,9,6,1,3.015,30,0,1,Explorer Learners
U00029,1,326.02,326.02,1,1,2,2.69,30,1,3,Premium Specialists
U00030,1,0.0,0.0,1,10,2,3.45,34,1,0,Casual Learners
U00031,1,0.0,0.0,1,11,1,2.2,30,1,0,Casual Learners
U00032,1,285.05,285.05,1,1,1,1.96,18,1,3,Premium Specialists
U00033,1,276.37,276.37,1,4,0,2.72,25,1,3,Premium Specialists
U00034,2,248.1,124.05,2,0,1,2.67,32,0,2,Budget Learners
U00035,1,0.78,0.78,1,7,0,3.89,32,1,0,Casual Learners
U00036,1,0.0,0.0,1,9,1,3.85,24,0,2,Budget Learners
U00037,2,0.0,0.0,2,2,0,1.9849999999999999,31,0,2,Budget Learners
U00038,1,0.0,0.0,1,2,2,3.93,35,1,0,Casual Learners
U00039,1,346.71,346.71,1,10,0,1.23,16,0,3,Premium Specialists
U00040,1,0.0,0.0,1,9,1,3.85,15,1,0,Casual Learners
U00041,2,326.02,163.01,2,1,1,3.5650000000000004,19,0,2,Budget Learners
U00042,1,89.59,89.59,1,0,2,2.68,32,1,0,Casual Learners
U00043,1,327.99,327.99,1,10,1,1.51,31,1,3,Premium Specialists
U00044,1,299.57,299.57,1,3,1,3.74,19,1,3,Premium Specialists
U00045,14,1209.79,86.41357142857143,9,10,1,3.375,23,0,1,Explorer Learners
U00046,2,0.0,0.0,2,4,0,1.325,29,0,2,Budget Learners
U00047,1,0.0,0.0,1,3,2,3.6,34,1,0,Casual Learners
U00048,13,356.89,27.45307692307692,9,4,1,3.329230769230769,19,1,1,Explorer Learners
U00049,1,0.0,0.0,1,10,2,3.45,32,1,0,Casual Learners
U00050,1,0.0,0.0,1,4,0,2.61,33,1,0,Casual Learners
U00051,1,0.0,0.0,1,4,1,4.51,32,0,2,Budget Learners
U00052,1,0.78,0.78,1,7,0,3.89,25,0,2,Budget Learners
U00053,1,53.86,53.86,1,6,1,2.47,34,0,2,Budget Learners
U00054,1,490.9,490.9,1,0,1,4.55,22,0,3,Premium Specialists
U00055,16,1448.25,90.515625,9,4,0,3.055625,31,0,1,Explorer Learners
U00056,2,0.0,0.0,2,4,0,2.745,22,0,2,Budget Learners
U00057,1,487.92,487.92,1,1,0,3.64,18,1,3,Premium Specialists
U00058,1,117.68,117.68,1,3,0,2.57,30,0,2,Budget Learners
U00059,1,0.0,0.0,1,4,1,4.51,32,1,0,Casual Learners
U00060,4,53.86,13.465,3,6,1,3.515,26,1,0,Casual Learners
U00061,1,0.0,0.0,1,2,2,1.91,32,0,2,Budget Learners
U00062,1,0.0,0.0,1,9,1,3.85,28,0,2,Budget Learners
U00063,2,299.57,149.785,2,3,1,3.31,34,0,2,Budget Learners
U00064,1,276.37,276.37,1,4,0,2.72,33,0,3,Premium Specialists
U00065,1,0.0,0.0,1,11,0,2.67,29,1,0,Casual Learners
U00066,1,327.99,327.99,1,10,1,1.51,26,0,3,Premium Specialists
U00067,1,119.04,119.04,1,6,2,2.75,28,0,2,Budget Learners
U00068,1,0.0,0.0,1,10,2,3.45,32,1,0,Casual Learners
U00069,2,0.0,0.0,2,4,0,3.67,27,0,2,Budget Learners
U00070,2,0.0,0.0,2,5,2,4.6899999999999995,25,0,2,Budget Learners
U00071,14,641.94,45.85285714285715,8,9,1,2.777857142857143,30,0,1,Explorer Learners
U00072,1,326.02,326.02,1,1,2,2.69,17,0,3,Premium Specialists
U00073,1,0.78,0.78,1,7,0,3.89,16,1,0,Casual Learners
U00074,3,963.18,321.06,2,9,1,3.5233333333333334,19,1,3,Premium Specialists
U00075,1,0.0,0.0,1,4,0,4.45,22,1,0,Casual Learners
U00076,4,472.28,118.07,4,1,1,3.0949999999999998,34,1,0,Casual Learners
U00077,1,0.0,0.0,1,8,2,4.11,20,1,0,Casual Learners
U00078,1,0.0,0.0,1,8,2,4.11,32,0,2,Budget Learners
U00079,1,0.0,0.0,1,2,1,4.94,28,1,0,Casual Learners
U00080,1,0.0,0.0,1,9,1,2.88,35,0,2,Budget Learners
U00081,1,0.0,0.0,1,4,0,1.52,18,0,2,Budget Learners
U00082,1,0.0,0.0,1,10,1,4.68,31,1,0,Casual Learners
U00083,15,1661.3,110.75333333333333,9,0,2,2.9953333333333334,16,1,1,Explorer Learners
U00084,1,327.99,327.99,1,10,1,1.51,20,1,3,Premium Specialists
U00085,13,1149.12,88.39384615384614,7,2,1,2.9084615384615384,22,0,1,Explorer Learners
U00086,4,53.86,13.465,4,1,0,2.47,27,0,2,Budget Learners
U00087,3,0.0,0.0,3,7,2,4.506666666666667,19,0,2,Budget Learners
U00088,1,0.0,0.0,1,0,1,3.64,23,1,0,Casual Learners
U00089,1,0.0,0.0,1,7,2,4.73,30,1,0,Casual Learners
U00090,1,0.0,0.0,1,10,2,3.45,34,1,0,Casual Learners
U00091,1,0.0,0.0,1,6,1,4.14,35,1,0,Casual Learners
U00092,4,594.81,148.7025,4,0,0,2.7175000000000002,31,1,0,Casual Learners
U00093,1,285.05,285.05,1,1,1,1.96,16,1,3,Premium Specialists
U00094,1,299.57,299.57,1,3,1,3.74,27,1,3,Premium Specialists
U00095,1,248.1,248.1,1,0,1,1.2,20,1,3,Premium Specialists
U00096,4,0.0,0.0,3,7,1,2.58,34,0,2,Budget Learners
U00097,2,0.0,0.0,2,2,0,2.0949999999999998,25,1,0,Casual Learners
U00098,1,0.0,0.0,1,4,0,4.45,31,1,0,Casual Learners
U00099,1,299.57,299.57,1,3,1,3.74,29,0,3,Premium Specialists
U00100,1,0.0,0.0,1,5,1,2.14,32,0,2,Budget Learners
U00101,1,89.59,89.59,1,0,2,2.68,15,0,2,Budget Learners
U00102,1,299.57,299.57,1,3,1,3.74,32,1,3,Premium Specialists
